Name,Address,Open,Close,Food
Hardywood Park Craft,"2410 Ownby Ln, Richmond, VA 23220",12:00,21:00,
The Veil Brewing Co.,"1301 Roseneath Rd, Richmond, VA 23230",12:00,21:00,
Stone Brewing,"4300 Williamsburg Ave, Richmond, VA 23231",12:00,20:00,
Triple Crossing Beer,"113 S Foushee St, Richmond, VA 23220",12:00,22:00,
Strangeways,"3110 W Leigh St, Richmond, VA 23230",12:00,21:00,
Isley Brewing,"1715 Summit Ave, Richmond, VA 23230",12:00,22:00,
Canon & Draw Brewing,"1529 W Main St, Richmond, VA 23220",14:00,20:00,
Legend Brewing Co,"321 W 7th St, Richmond, VA 23224",11:30,22:00,
Ardent Craft Ales,"3200 W Leigh St, Richmond, VA 23230",12:00,22:00,
Three Notch'd,"2930 W Broad St, Richmond, VA 23230",12:00,23:00,
Star Hill,"3406 W Leigh St, Richmond, VA 23230",13:00,22:00,
Richbrau Brewing,"5 S 20th St, Richmond, VA 23223",12:00,23:59,
Castleburg Brewery,"1626 Ownby Ln, Richmond, VA 23220",14:00,21:00,
Vasen Brewing,"3331 W Moore St, Richmond, VA 23230",12:00,22:00,
Main Line Brewery,"1603 Ownby Ln, Richmond, VA 23220",13:00,23:00,
Tabol Brewing,"704 Dawn St, Richmond, VA 23222",12:00,21:00,
